distancia,angulo,velocidade,direcao_robo,direcao_inimigo,fui_acertado
837.6716863852295,150.31819043021767,-3.0,0.0,318.9748364628151,1
844.2471047332616,146.89063219951967,-4.0,0.0,311.2248364628151,1
850.3689483617258,143.3492260236055,-2.0,0.0,318.2248364628151,1
856.5175531875143,139.89852092362065,-3.0,0.0,309.7248364628151,1
862.1751761478605,136.33454483148378,-1.0,0.0,317.4748364628151,1
867.7120561917227,132.85689571241258,-2.0,0.0,308.2248364628151,1
872.7533095786137,129.26587709605286,0.0,0.0,316.7248364628151,1
877.5564194569049,125.62796754833892,1.0,0.0,321.99053416864473,1
882.1122186046264,121.9424811865914,2.0,0.0,322.761606004571,1
885.8890891373895,118.3995739408622,-0.0,0.0,314.26160600457104,1
888.2303096576079,114.64314629174717,1.0,0.0,323.53321239709436,1
888.250238531928,104.51414302817197,2.0,0.0,314.28321239709436,1
887.8447160955093,94.32236294873422,3.0,0.0,305.7832123970944,1
887.1588690661362,84.06795298784606,4.0,0.0,303.4560014049664,1
886.304306518682,73.7496333219199,5.0,0.0,303.2015914440782,1
885.2821370734518,63.36720780256952,6.0,0.0,302.88327177815205,1
884.0934766209982,52.92044362192827,7.0,0.0,302.5008462588016,1
883.2389615459562,42.601019193053595,5.0,0.0,302.0540820781604,1
882.2204196894322,32.441524637385854,3.0,0.0,308.3040820781604,1
880.4601496616051,23.177902250371844,1.0,0.0,316.0540820781604,1
877.4721229138785,14.75968985091392,-0.5,0.0,321.56154070660386,1
873.2458699630043,7.138666321562182,-1.5,0.0,321.56154070660386,1
867.8152909976105,0.3020154168536589,-2.5,0.0,321.77230477779426,1
861.2444575401374,-5.76004131649112,-3.5,0.0,321.9356538730857,1
853.6032852013898,-11.054324616671028,-4.5,0.0,322.1235971397409,1
844.9568435225478,-15.584783941612702,-5.5,0.0,322.32931383956105,1
836.2992303539336,-19.329946518159552,-6.5,0.0,322.5488545146194,1
827.6617002698637,-23.037959716745313,-7.5,0.0,322.8036919380725,1
819.1578531467874,-26.74126566867651,-8.0,0.0,323.09567873948674,1
810.9016459873031,-30.473534088377722,-8.0,0.0,323.39237278755553,1
802.9243483212174,-34.2344627447131,-8.0,0.0,323.66010436785433,1
795.2566726765084,-38.023551138374124,-8.0,0.0,323.89917571151904,1
787.9285688295424,-41.84008780306813,-8.0,0.0,324.11008731785796,1
780.9690067447608,-45.683139631857316,-8.0,0.0,324.29355065316395,1
