time,distancia,velocidade,direcao,minhaEnergia,meuHeading
639,280.64377713751674,8.0,144.2675949045283,84.0,217.29402316263685
640,289.40650098359305,8.0,148.2675949045283,84.0,217.29402316263685
660,262.27867360389587,8.0,228.2675949045282,84.0,217.29402316263685
661,257.3580321933195,8.0,232.26759490452824,84.0,217.29402316263685
678,154.83605459797909,8.0,300.2675949045283,84.0,217.29402316263685
679,147.41992502152314,8.0,304.2675949045283,84.0,217.29402316263685
699,69.00806645808085,-6.0,239.51759490452827,79.4,217.29402316263685
700,70.27324688988192,-7.0,234.01759490452827,79.4,217.29402316263685
712,100.19945876740637,-8.0,185.2675949045282,79.4,217.29402316263685
713,111.81748038699011,-8.0,181.2675949045282,79.4,217.29402316263685
729,194.31993576680944,-8.0,158.26759490452827,79.4,217.29402316263685
730,193.7768952552711,-8.0,162.26759490452827,79.4,217.29402316263685
747,292.2576572237661,-8.0,230.26759490452835,75.4,217.29402316263685
748,305.63404218158166,-8.0,234.26759490452838,75.4,217.29402316263685
767,382.2372039448063,-8.0,310.2675949045285,75.4,217.29402316263685
768,373.32606401735376,-8.0,314.2675949045285,75.4,217.29402316263685
785,418.98143016062073,8.0,40.26759490452834,75.4,217.29402316263685
786,434.9448274692366,8.0,36.26759490452834,75.4,217.29402316263685
804,558.1615277516775,8.0,324.2675949045283,75.4,217.29402316263685
821,514.1529839739455,8.0,256.2675949045282,75.4,217.29402316263685
822,517.1356903497992,8.0,252.2675949045282,75.4,217.29402316263685
840,472.84125585039703,8.0,276.2675949045284,75.4,217.29402316263685
857,528.1456185315325,8.0,344.2675949045285,75.4,217.29402316263685
877,690.002117343466,8.0,64.26759490452837,75.4,217.29402316263685
895,639.3202829276869,8.0,136.26759490452847,75.4,217.29402316263685
915,686.5541172599559,8.0,62.2675949045283,75.4,217.29402316263685
933,797.9703857768741,8.0,350.26759490452827,75.4,217.29402316263685
951,930.5941325270632,0.0,358.26759490452844,75.4,217.29402316263685
952,922.0824241661626,-1.0,8.267594904528426,75.4,217.29402316263685
969,830.1581068290076,-8.0,97.26759490452848,75.4,217.29402316263685
988,859.0771701606186,8.0,197.26759490452844,75.4,217.29402316263685
1006,698.6908991735708,8.0,188.26759490452838,75.4,217.29402316263685
1025,620.2036273889515,8.0,112.26759490452828,75.4,217.29402316263685
1044,663.8266527316431,8.0,60.26759490452838,75.4,217.29402316263685
1063,725.9906728450089,8.0,136.26759490452847,75.4,217.29402316263685
1081,600.6112661417236,8.0,208.26759490452858,75.4,217.29402316263685
1082,600.6688993485224,8.0,212.2675949045286,75.4,217.29402316263685
1100,505.6505863159159,8.0,284.2675949045285,75.4,217.29402316263685
1117,494.70479207214873,8.0,286.2675949045285,71.4,217.29402316263685
1118,501.70453382761656,8.0,282.2675949045285,71.4,217.29402316263685
1136,452.50477522259564,8.0,210.26759490452838,71.4,217.29402316263685
1154,287.13200042176084,8.0,138.26759490452847,71.4,217.29402316263685
1173,183.98337032982312,8.0,214.26759490452855,71.4,217.29402316263685
1174,169.2609219010033,8.0,218.26759490452858,71.4,217.29402316263685
1188,123.80925873252,8.0,274.26759490452866,67.4,217.29402316263685
1189,130.88324210937571,8.0,278.2675949045286,67.4,217.29402316263685
1208,289.510392740663,8.0,354.2675949045286,67.4,217.29402316263685
1226,342.35476890536046,8.0,32.267594904528565,67.4,217.29402316263685
1227,350.8197475580286,8.0,28.26759490452856,67.4,217.29402316263685
1246,524.4131631853306,8.0,312.2675949045285,67.4,217.29402316263685
1263,552.6051403226701,8.0,244.2675949045284,67.4,217.29402316263685
1282,620.0200718998933,8.0,288.2675949045286,67.4,217.29402316263685
1299,732.0101601729586,8.0,356.2675949045287,67.4,217.29402316263685
1300,738.8463410893379,8.0,0.2675949045287204,67.4,217.29402316263685
1319,798.3628491127639,8.0,76.2675949045286,67.4,217.29402316263685
1337,665.920676566931,8.0,130.2675949045286,67.4,217.29402316263685
1338,661.8720382903717,8.0,126.26759490452861,67.4,217.29402316263685
1357,665.6429101410391,8.0,50.267594904528494,67.4,217.29402316263685
1375,753.7679525042047,8.0,338.2675949045285,67.4,217.29402316263685
1394,891.8152076235104,-4.0,33.76759490452863,67.4,217.29402316263685
1412,864.3144521418483,-8.0,113.26759490452869,67.4,217.29402316263685
1431,881.8486410741881,8.0,213.26759490452866,67.4,217.29402316263685
1448,770.8690671503043,8.0,176.26759490452858,67.4,217.29402316263685
1467,665.5551153278778,8.0,100.26759490452847,67.4,217.29402316263685
1468,658.4403827294044,8.0,96.26759490452847,67.4,217.29402316263685
1486,638.2388741124264,8.0,72.26759490452861,67.4,217.29402316263685
1506,596.8047533094542,8.0,152.26759490452872,67.4,217.29402316263685
